iter	Logloss	Accuracy
843	0.1077059068	0.9708563799
844	0.1077031105	0.9708563799
845	0.1074711954	0.9710089643
846	0.1074393816	0.9710089643
847	0.1074194296	0.9709708182
848	0.107418968	0.9709708182
849	0.1074181706	0.9709708182
850	0.107417485	0.9709708182
851	0.1074164336	0.9709708182
852	0.1074159648	0.9709708182
853	0.107364551	0.9710089643
854	0.1072201349	0.9710852565
855	0.1072125015	0.9711234026
856	0.1071841079	0.9711234026
857	0.1071769772	0.9711234026
858	0.1071657036	0.9711234026
859	0.1071655182	0.9711234026
860	0.1071652145	0.9711234026
861	0.107128082	0.9711234026
862	0.1070855584	0.9710471104
863	0.1069910111	0.9711234026
864	0.106990704	0.9711234026
865	0.1069606789	0.9711615487
866	0.1069395839	0.9711615487
867	0.1069387314	0.9711615487
868	0.1069382198	0.9711234026
869	0.1069374421	0.9711234026
870	0.1069331585	0.9711234026
871	0.1068865485	0.9711234026
872	0.1068478681	0.9709708182
873	0.1068426894	0.9709708182
874	0.106640903	0.9713141331
875	0.106632663	0.9713141331
876	0.106594031	0.9713141331
877	0.1065727115	0.9713141331
878	0.1065706809	0.971275987
879	0.1065681692	0.9713141331
